observation_id,observed_at,created_at,datasheet,location,latitude,longitude,observer,comments,photos,Monitor's Name(s) - NOT published publically,Monitor's Initials (or alias) - PUBLIC,Water Depth (cm),Width (cm),Flowing,Rainfall Last 24h (mm),Air Temperature (C),Other Observations,Further / ad-hoc Observations,Comments / Notes,Hanna Combo Meter #,Hanna Combo Last Calibrated,TDScan Meter #,TDScan Last Calibrated,pH,TDS (ppm) / salinity,Water Temperature (C),Electrical Conductivity (mS / uS),Electrical Conductivity Unit,Dissolved Oxygen %s,Dissolved Oxygen Temperature (C),Dissolved Oxygen in mg/L,Turbidity (NTU),Turbidity Measurement Type,Nutrient Samples Collected,Site Conditions Photograph - PUBLIC,Ph,Temperature (C),Electrical Conductivity
019edd31-b841-79d1-bb48-e7b21a2d1822,2025-11-29T10:27:00+00:00,2026-06-19T00:04:43+00:00,Dover Landcare Water Quality,DOV110 Dover Rivulet South Gate Market,-43.3105898,147.0170049,mhdoverlc,,,,SR,,,Medium,,,,,,,,,,,,,,uS micro-Siemens,,,,20,Tube,,,7.3,10.6,317
019ec62d-2b1e-70b0-8e4c-afaedbf2ebae,2026-06-14T10:20:00+00:00,2026-06-14T12:48:29+00:00,Dover Landcare Water Quality,DOV110 Dover Rivulet South Gate Market,-43.3105898,147.0170049,mhdoverlc,,files/photos_and_files/019ec62d-2866-707c-89db-117aa6141ef0-b7ed5103e7577015492e6a92185f33f3650a9ba6.jpg,,JE EB MH,10,50,High,,,"Foam, Erosion",,,98128,,Wp-84,,,,,,uS micro-Siemens,95.2,,,10,Tube,None,files/photos_and_files/019ec62d-2866-707c-89db-117aa6141ef0-b7ed5103e7577015492e6a92185f33f3650a9ba6.jpg,7.0,8.6,350
019ec637-17d2-74db-b524-e148df0e251a,2026-06-14T11:02:00+00:00,2026-06-14T12:59:19+00:00,Dover Landcare Water Quality,DOV070 Dover Rivulet Huon Highway,-43.2976765,147.0103537,mhdoverlc,,files/photos_and_files/019ec637-1503-7903-a2b6-9314cf911ba4-8c3519561e4aa2903288d0bf413784edf44883d8.jpg,,JE EB MH,20,100,High,,,"Debris, Foam, Bubbles, Erosion",,,98128,,wp-84,,,,,,uS micro-Siemens,92.8,,,19,Tube,None,files/photos_and_files/019ec637-1503-7903-a2b6-9314cf911ba4-8c3519561e4aa2903288d0bf413784edf44883d8.jpg,7,8.7,274
019ec63f-1b33-7206-8be6-94b3d18c8812,2026-06-14T11:40:00+00:00,2026-06-14T13:08:05+00:00,Dover Landcare Water Quality,DOV130 Dover Rivulet Lagoon Kent Beach Rd,-43.3155877,147.0230454,mhdoverlc,,files/photos_and_files/019ec63f-1159-7d6f-8994-df079a712d29-5e30dace50883b278d89d2a137b6abd071287e0f.jpg; files/photos_and_files/019ec63f-17e1-7798-8432-5a14972a8f8f-5d0dbde4c2d3da1150501441e751f49245690297.jpg,,JE EB MH,200,1500,Low,,,"Rubbish, Debris","Open to ocean, flowing out",,,,,,,,,,mS milli-Siemens,90,,,7,Tube,None,files/photos_and_files/019ec63f-1159-7d6f-8994-df079a712d29-5e30dace50883b278d89d2a137b6abd071287e0f.jpg; files/photos_and_files/019ec63f-17e1-7798-8432-5a14972a8f8f-5d0dbde4c2d3da1150501441e751f49245690297.jpg,7.1,10.2,23
019ec650-0f2e-7cad-9f82-beb9494685fc,2026-06-14T12:25:00+00:00,2026-06-14T13:26:36+00:00,Dover Landcare Water Quality,ESP100 Esperance River Cableway Above Dover Water Intake,-43.334185,146.9657096,mhdoverlc,,files/photos_and_files/019ec650-0c3b-723a-a28b-508bca84140c-d13af59804df274182c672065f3d3b2e0e4ab677.jpg,,EB JE MH,150,20000,High,2,,Foam,,,,,,,,,,,uS micro-Siemens,99,,,7,Tube,None,files/photos_and_files/019ec650-0c3b-723a-a28b-508bca84140c-d13af59804df274182c672065f3d3b2e0e4ab677.jpg,7.4,8.3,71
019ec64a-5093-760e-bf95-5cc35997280c,2026-06-14T12:50:00+00:00,2026-06-14T13:20:19+00:00,Dover Landcare Water Quality,ESP050 Esperance River Conservation Area (maybe ESP010),-43.298965,146.9134378,mhdoverlc,,files/photos_and_files/019ec64a-430f-7985-bf9f-4a29691c5373-d7d56e9ed38dc992c8ab6c5fc1a5a58c814a229e.jpg; files/photos_and_files/019ec64a-4dd7-7684-9c57-92712606242a-078fd264247d6edb36a41d476487ea74a43d5e04.jpg,,EB JE MH,50,600,High,2,,"Foam, Bubbles",,,,,,,,,,,uS micro-Siemens,99.5,,,6,2100P Turbidimeter,None,files/photos_and_files/019ec64a-430f-7985-bf9f-4a29691c5373-d7d56e9ed38dc992c8ab6c5fc1a5a58c814a229e.jpg; files/photos_and_files/019ec64a-4dd7-7684-9c57-92712606242a-078fd264247d6edb36a41d476487ea74a43d5e04.jpg,6.9,7.9,56
019fbfe4-1aa4-7f16-838a-ae6e260ef51c,2026-08-02T10:02:42+00:00,2026-08-02T00:33:45+00:00,Dover Landcare Water Quality,DOV110 Dover Rivulet South Gate Market,-43.3105898,147.0170049,mhdoverlc,,files/photos_and_files/019fbfe4-0d96-757e-9cce-3a39daf5d9b1-d1019fddce55560f208f806fd5673bc204f1c7bf.jpg; files/photos_and_files/019fbfe4-17e9-722d-b425-abd5a35fa949-732d8f9a942df6a9f02952c484f50aec7340b378.jpg,,EB MH,20,100,Medium,0,9,Foam,,,,,,,7.42,,6.3,285,uS micro-Siemens,95.5,7.1,,23.9,2100P Turbidimeter,,files/photos_and_files/019fbfe4-0d96-757e-9cce-3a39daf5d9b1-d1019fddce55560f208f806fd5673bc204f1c7bf.jpg; files/photos_and_files/019fbfe4-17e9-722d-b425-abd5a35fa949-732d8f9a942df6a9f02952c484f50aec7340b378.jpg,,,
019fbff3-a20e-70f9-a6b3-3b1b33744935,2026-08-02T10:34:08+00:00,2026-08-02T00:50:42+00:00,Dover Landcare Water Quality,DOV130 Dover Rivulet Lagoon Kent Beach Rd,-43.3155877,147.0230454,mhdoverlc,,files/photos_and_files/019fbff3-8ed5-704c-b84f-1d349595a53d-5df920bcb7f91b36504a97319bef746a83baf168.jpg; files/photos_and_files/019fbff3-96d8-7da0-a163-9c7db1d25cf1-d53a95e8871ddf87b1281c095dd5f61d68550bf5.jpg; files/photos_and_files/019fbff3-9fdb-7f5c-86ab-48107dcde196-2df58c9f7e9e7ec73b3fb8f4c32a7030ba8a1cc4.jpg,,"MH, EB",100,1100,Medium,0,10,,,,,,,,7.26,,6.9,2224,uS micro-Siemens,95.3,6.4,,25.2,2100P Turbidimeter,None,files/photos_and_files/019fbff3-8ed5-704c-b84f-1d349595a53d-5df920bcb7f91b36504a97319bef746a83baf168.jpg; files/photos_and_files/019fbff3-96d8-7da0-a163-9c7db1d25cf1-d53a95e8871ddf87b1281c095dd5f61d68550bf5.jpg; files/photos_and_files/019fbff3-9fdb-7f5c-86ab-48107dcde196-2df58c9f7e9e7ec73b3fb8f4c32a7030ba8a1cc4.jpg,,,
019fc00a-73f7-7261-bf5a-fd04ec3c9232,2026-08-02T11:04:17+00:00,2026-08-02T01:15:38+00:00,Dover Landcare Water Quality,DOV070 Dover Rivulet Huon Highway,-43.2976765,147.0103537,mhdoverlc,,files/photos_and_files/019fc00a-2e86-7425-85f6-adc8efe711eb-8cbf0739ee4a13585fb46422a9643c89201930bc.jpg; files/photos_and_files/019fc00a-5391-784a-b4e3-42b9ace8b417-40e02e0da724e6b2b7c60c2c7652b409aaff8b42.jpg; files/photos_and_files/019fc00a-71c2-7b31-b61c-f7bcb225dab6-ea9500e2c2bfb5f5bf56c38e0bea27e5772b613c.jpg,,"MH, EB",15,120,Medium,0,11,"Debris, Foam",,,,,,,7.23,,6.9,221,uS micro-Siemens,91.4,6.0,,26.7,2100P Turbidimeter,None,files/photos_and_files/019fc00a-2e86-7425-85f6-adc8efe711eb-8cbf0739ee4a13585fb46422a9643c89201930bc.jpg; files/photos_and_files/019fc00a-5391-784a-b4e3-42b9ace8b417-40e02e0da724e6b2b7c60c2c7652b409aaff8b42.jpg; files/photos_and_files/019fc00a-71c2-7b31-b61c-f7bcb225dab6-ea9500e2c2bfb5f5bf56c38e0bea27e5772b613c.jpg,,,
019fc020-24cc-7649-b730-2d101fbf443d,2026-08-02T11:31:11+00:00,2026-08-02T01:39:19+00:00,Dover Landcare Water Quality,ESP100 Esperance River Cableway Above Dover Water Intake,-43.334185,146.9657096,Erika B,,files/photos_and_files/019fc020-0cf7-7052-824d-60c8024e38b4-3bffb12dd84f87e474bae5d18bf7deca1d5f4470.jpg; files/photos_and_files/019fc020-17c1-76d6-bf48-059818f990db-e31966331da7530deaa87f854b1b93d4c778e5c2.jpg; files/photos_and_files/019fc020-221c-72cf-9120-fb7dac2396d5-c4cadbdc0516e457e54bad3cf23b0b46c7d62c7b.jpg,,MH & Eb,146,2000,Medium,0,11,"Debris, Foam",I’m,,,,,,7.39,,6.7,60,uS micro-Siemens,100.8,6.0,,4.19,2100P Turbidimeter,None,files/photos_and_files/019fc020-0cf7-7052-824d-60c8024e38b4-3bffb12dd84f87e474bae5d18bf7deca1d5f4470.jpg; files/photos_and_files/019fc020-17c1-76d6-bf48-059818f990db-e31966331da7530deaa87f854b1b93d4c778e5c2.jpg; files/photos_and_files/019fc020-221c-72cf-9120-fb7dac2396d5-c4cadbdc0516e457e54bad3cf23b0b46c7d62c7b.jpg,,,
