Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean ,
East,AGN010,Water temperature (°C),15,10,6,8,12.5,18,10.6,
East,AGN010,Turbidity (NTU),15,7,<7,<7,<7,<7,<7 ,
East,AGN010,Conductivity (uS/cm),15,130,80,99,130,150,120,
East,AGN010,pH,15,6.5,6,6.5,7,7,6.6,
,,,,,,,,,,
East,AGN016,Water temperature (°C),13,12.5,3.9,7.5,16,19,11.8,
East,AGN016,Turbidity (NTU),13,7,2,<7,<7,20,8,
East,AGN016,Conductivity (uS/cm),13,410,150,290,430,690,380,
East,AGN016,pH,13,6.5,6.5,6.5,7,8.1,6.8,
,,,,,,,,,,
East,AGN120,Water temperature (°C),11,13.5,6.5,7.5,18,20,13.4,
East,AGN120,Turbidity (NTU),10,9,<7,<7,10,24,11,
East,AGN120,Conductivity (uS/cm),11,350,230,290,510,720,417,
East,AGN120,pH,11,6.5,6,6.5,6.5,7,6.5,
,,,,,,,,,,
East,AGN130,Water temperature (°C),27,12.7,4.3,8,16.1,23,12.5,
East,AGN130,Turbidity (NTU),27,19,<7,<7,24,44,18,
East,AGN130,Conductivity (uS/cm),27,430,289,390,485,740,436,
East,AGN130,pH,26,7,6,6.5,7.7,8,7,
,,,,,,,,,,
East,AGN200,Water temperature (°C),11,15,7,10,21,25,15.1,
East,AGN200,Turbidity (NTU),11,55,16,30,99,300,93,
East,AGN200,Conductivity (uS/cm),11,250,170,210,300,500,275,
East,AGN200,pH,11,6.5,6,6,7.5,8,6.7,
East,AGN200,E. coil (counts/100 ml),5,8500,900,1300,10400,13865,6993,
,,,,,,,,,,
East,AGN245,Water temperature (°C),6,12,9.5,11,17.5,26,14.7,
East,AGN245,Turbidity (NTU),6,7,<7,<7,14,75,20,
East,AGN245,Conductivity (uS/cm),6,205,140,190,220,250,202,
East,AGN245,pH,6,6,5.5,5.5,6,6.5,5.9,
,,,,,,,,,,
East,AGN249,Water temperature (°C),10,13,6.5,10.5,15.5,20,13.2,
East,AGN249,Turbidity (NTU),10,90,34,57,130,300,111,
East,AGN249,Conductivity (uS/cm),10,2750,1580,2500,3000,3100,2628,
East,AGN249,pH,10,8,7.5,8,8,8,7.9,
,,,,,,,,,,
East,AGN250,Water temperature (°C),9,12.5,7,9.5,13,26,12.7,
East,AGN250,Turbidity (NTU),9,35,<7,<7,55,85,38,
East,AGN250,Conductivity (uS/cm),9,350,140,250,580,1760,632,
East,AGN250,pH,9,6,5.5,5.5,6.5,7.5,6.2,
,,,,,,,,,,
East,AGN260,Water temperature (°C),6,12,8,10,14.5,20,12.8,
East,AGN260,Turbidity (NTU),6,28,<7,<7,40,155,44,
