Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean 
East,AGN200,E. coil (counts/100 ml),5,8500,900,1300,10400,13865,6993
East,ALB100,E. coli (counts/100 ml),2,100,60,140,100,,
East,GDR100,E. coli (counts/100 ml),3,80,40,160,93,,
East,GDR150,E. coli (counts/100 ml),3,280,30,660,323,,
East,GDR200,E. coil (counts/100 ml),2,59,20,98,59,,
East,HOL100,E. coli (counts/100 ml),2,160,140,180,160,,
East,WOL100,E. coil (counts/100 ml),2,90,0,180,90,,
East,WOL100,E. coli (counts/100 ml),2,90,0,180,90,,
North,BAK025,E. coli (counts/100 ml),6,69,0,20,320,480,160
North,BAK060,E. coil (counts/100 ml),6,260,40,140,1200,1240,523
North,BAK150,E. coli (counts/100 ml),5,200,54,80,540,1680,511
North,BAK200,E. coli (counts/100 ml),7,280,120,200,680,2000,554
North,BAK250,E. coli (counts/100 ml),5,140,98,140,320,1520,444
North,CRB080,E. coli (counts/100 ml),5,20,0,0,20,20,12
North,CRB100,E. coli (counts/100 ml),2,36,6,66,36,,
North,CRB150,E. coli (counts/100 ml),6,50,0,0,120,140,60
North,CRB250,E. coil (counts/100 ml),4,20,0,0,80,120,40
North,CRB300,E. coil (counts/100 ml),10,75,20,40,280,2700,381
North,DIP060,E. coil (counts/100 ml),2,50,40,60,50,,
North,DIP080,E. coil (counts/100 ml),2,430,400,460,430,,
North,DIP100,E. coli (counts/100 ml),6,520,160,280,800,1440,620
North,FOU100,E. coil (counts/100 ml),7,260,0,40,1000,2000,557
North,FOU120,E. coil (counts/100 ml),8,130,38,60,340,480,197
North,FOU150,E. coli (counts/100 ml),8,109,20,50,340,580,200
North,FOU200,E. coli (counts/100 ml),6,80,1,20,160,700,174
North,MOU200,E. coli (counts/100 ml),10,20,0,0,100,200,52
North,MOU250,E. coil (counts/100 ml),9,20,0,0,99,660,122
North,MOU400,E. coli (counts/100 ml),10,70,20,40,120,200,86
North,MOU600,E. coil (counts/100 ml),10,84,0,40,260,400,143
North,MOU650,E. coil (counts/100 ml),9,100,40,100,180,360,149
North,MOU700,E. coil (counts/100 ml),10,130,20,80,210,460,169
North,MOU850,E. coil (counts/100 ml),10,390,50,160,800,2000,661
Upper,JUD020,E. coil (counts/100 ml),3,0,0,0,0,,
Upper,JUD025,E. coli (counts/100 ml),3,0,0,20,7,,
Upper,JUD070,E. coli (counts/100 ml),3,20,0,40,20,,
Upper,JUD100,E. coil (counts/100 ml),3,0,0,40,13,,
Upper,JUD200,E. coli (counts/100 ml),5,60,0,60,120,1000,248
Upper,ROS070,E. coli (counts/100 ml),2,70,20,120,70,,
Upper,RUS010,E. coil (counts/100 ml),2,0,0,0,0,,
Upper,RUS055,E. coil (counts/100 ml),4,32,6,11,106,164,58
Upper,RUS060,E. coil (counts/100 ml),2,10,0,20,10,,
Upper,RUS080,E. coli (counts/100 ml),2,20,20,20,20,,
West,CFB010,E. coli (counts/100 ml),4,100,0,0,355,510,178
West,CFB020,E. coil (counts/100 ml),6,48,0,36,360,510,167
West,CFB030,E. coil (counts/100 ml),4,675,360,435,840,840,638
West,KER200,E. coil (counts/100 ml),4,210,76,128,345,450,237
West,KER400,E. coil (counts/100 ml),2,300,80,520,300,,
West,KER450,E. coil (counts/100 ml),4,250,24,122,360,440,241
West,KER600,E. coil (counts/100 ml),3,560,60,820,480,,
West,KER700,E. coil (counts/100 ml),4,700,120,290,1470,2000,880
West,KER800,E. coil (counts/100 ml),4,665,200,405,1000,1280,703
,RIL200,E. coil (counts/100 ml),2,280,280,280,280,,
,RIL400,E. coil (counts/100 ml),4,865,230,340,1490,1700,915
,STT100,E. coil (counts/100 ml),2,95,80,110,95,,
,STT300,E. coil (counts/100 ml),2,920,240,1600,920,,
,STT350,E. coil (counts/100 ml),2,170,80,260,170,,
,STT400,E. coil (counts/100 ml),4,1195,260,465,2110,2500,1288
