Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean 
East,AGN010,Conductivity (uS/cm),15,130,80,99,130,150,120
East,AGN016,Conductivity (uS/cm),13,410,150,290,430,690,380
East,AGN120,Conductivity (uS/cm),11,350,230,290,510,720,417
East,AGN130,Conductivity (uS/cm),27,430,289,390,485,740,436
East,AGN200,Conductivity (uS/cm),11,250,170,210,300,500,275
East,AGN245,Conductivity (uS/cm),6,205,140,190,220,250,202
East,AGN249,Conductivity (uS/cm),10,2750,1580,2500,3000,3100,2628
East,AGN250,Conductivity (uS/cm),9,350,140,250,580,1760,632
East,AGN260,Conductivity (uS/cm),6,585,430,520,720,800,607
East,AGN300,Conductivity (uS/cm),10,475,280,430,580,920,500
East,AGN400,Conductivity (uS/cm),10,1575,113,1070,3000,44000,7612
East,ALB100,Conductivity (uS/cm),8,419,282,733,307,569,451
East,GDR100,Conductivity (uS/cm),8,261,163,435,213,337,278
East,GDR150,Conductivity (uS/cm),9,457,291,920,440,571,505
East,GDR200,Conductivity (uS/cm),8,538,300,1144,404,701,591
East,GVC115,Conductivity (uS/cm),13,490,290,388,530,1900,570
East,HOL100,Conductivity (uS/cm),4,599,533,762,542,705,623
East,SUP010,Conductivity (uS/cm),10,585,480,560,625,650,577
East,SUP020,Conductivity (uS/cm),11,920,460,750,990,1120,871
East,SUP050,Conductivity (uS/cm),11,710,430,620,730,754,664
East,SUP100,Conductivity (uS/cm),12,640,400,590,660,707,612
East,SUP200,Conductivity (uS/cm),12,325,260,290,340,405,324
East,SUP300,Conductivity (uS/cm),14,560,120,530,645,740,543
East,SUP350,Conductivity (uS/cm),11,480,120,330,720,870,505
East,WOL100,Conductivity (uS/cm),6,515,423,622,472,567,519
North,BAK025,Conductivity (uS/cm),4,86,50,64,96,97,80
North,BAK060,Conductivity (uS/cm),5,91,70,88,110,124,97
North,BAK150,Conductivity (uS/cm),4,151,120,132,167,176,149
North,BAK200,Conductivity (uS/cm),8,165,140,149,176,208,166
North,BAK250,Conductivity (uS/cm),5,178,150,163,195,309,199
North,CRB080,Conductivity (uS/cm),6,55,34,38,92,130,67
North,CRB100,Conductivity (uS/cm),4,90,76,79,105,111,92
North,CRB150,Conductivity (uS/cm),6,73,44,50,119,131,82
North,CRB250,Conductivity (uS/cm),5,81,46,50,116,139,86
North,CRB300,Conductivity (uS/cm),11,73,49,50,114,162,86
North,DIP060,Conductivity (uS/cm),4,141,110,124,157,170,140
North,DIP080,Conductivity (uS/cm),4,208,180,188,238,256,213
North,DIP100,Conductivity (uS/cm),5,200,65,190,203,210,174
North,FOU100,Conductivity (uS/cm),9,401,300,310,484,640,423
North,FOU120,Conductivity (uS/cm),10,362,230,338,658,1420,527
North,FOU150,Conductivity (uS/cm),10,529,390,454,1080,1294,694
North,FOU200,Conductivity (uS/cm),8,491,410,465,629,1020,575
North,MOU200,Conductivity (uS/cm),20,50,20,40,69,99,53
North,MOU250,Conductivity (uS/cm),9,168,99,149,243,320,190
North,MOU400,Conductivity (uS/cm),20,60,20,45,76,113,62
North,MOU600,Conductivity (uS/cm),19,70,30,50,90,124,72
North,MOU650,Conductivity (uS/cm),11,100,40,70,135,141,101
North,MOU700,Conductivity (uS/cm),11,100,40,70,132,158,103
North,MOU850,Conductivity (uS/cm),27,114,40,101,135,182,117
Upper,HU0140,Conductivity (uS/cm),17,82,41,59,109,161,87
Upper,HU0150,Conductivity (uS/cm),6,50,40,40,80,150,68
Upper,HU0200,Conductivity (uS/cm),23,30,10,20,50,183,50
Upper,HU0240,Conductivity (uS/cm),20,35,10,25,60,150,52
Upper,JUD020,Conductivity (uS/cm),10,55,39,39,65,90,55
Upper,JUD025,Conductivity (uS/cm),9,61,43,44,78,120,68
Upper,JUD070,Conductivity (uS/cm),6,60,51,51,77,82,64
Upper,JUD100,Conductivity (uS/cm),6,56,44,52,61,110,63
Upper,JUD180,Conductivity (uS/cm),5,54,49,53,70,88,63
Upper,JUD200,Conductivity (uS/cm),7,58,51,54,118,137,80
Upper,LDR001,Conductivity (uS/cm),69,35,24,30,43,66,38
Upper,LDR002,Conductivity (uS/cm),67,46,30,43,55,70,48
Upper,LDR100,Conductivity (uS/cm),8,30,20,30,40,40,33
Upper,LDR220,Conductivity (uS/cm),4,30,30,30,40,50,35
Upper,LDR300,Conductivity (uS/cm),4,30,30,30,30,30,30
Upper,RUS005,Conductivity (uS/cm),72,58,39,51,68,100,60
Upper,RUS010,Conductivity (uS/cm),71,55,38,47,69,100,60
Upper,RUS055,Conductivity (uS/cm),10,47,30,39,68,78,51
Upper,RUS060,Conductivity (uS/cm),12,46,35,43,60,77,51
Upper,RUS070,Conductivity (uS/cm),10,47,36,43,58,79,52
Upper,RUS075,Conductivity (uS/cm),6,76,65,72,90,147,88
Upper,RUS080,Conductivity (uS/cm),14,52,7,42,60,88,52
Upper,RUS100,Conductivity (uS/cm),11,51,39,42,74,86,56
Upper,WAT050,Conductivity (uS/cm),8,264,125,176,420,510,294
Upper,WAT055,Conductivity (uS/cm),6,309,215,239,470,510,342
Upper,WAT200,Conductivity (uS/cm),27,320,120,220,390,490,315
West,CFB010,Conductivity (uS/cm),31,90,60,80,110,173,97
West,CFB020,Conductivity (uS/cm),32,110,60,90,130,191,112
West,CFB030,Conductivity (uS/cm),28,130,80,110,140,191,127
West,DOV070,Conductivity (uS/cm),4,382,180,279,388,390,334
West,DOV090,Conductivity (uS/cm),2,355,190,520,355,,
West,DOV110,Conductivity (uS/cm),2,425,200,650,425,,
West,DOV120,Conductivity (uS/cm),2,1125,250,1999,1125,,
West,DOV130,Conductivity (uS/cm),2,1095,190,2000,1095,,
West,PCK010,Conductivity (uS/cm),20,149,80,131,173,214,150
West,PCK020,Conductivity (uS/cm),20,179,90,148,202,285,176
West,PCK030,Conductivity (uS/cm),20,220,99,182,249,350,219
