Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean 
East,AGN010,pH,15,6.5,6,6.5,7,7,6.6
East,AGN016,pH,13,6.5,6.5,6.5,7,8.1,6.8
East,AGN120,pH,11,6.5,6,6.5,6.5,7,6.5
East,AGN130,pH,26,7,6,6.5,7.7,8,7
East,AGN200,pH,11,6.5,6,6,7.5,8,6.7
East,AGN245,pH,6,6,5.5,5.5,6,6.5,5.9
East,AGN249,pH,10,8,7.5,8,8,8,7.9
East,AGN250,pH,9,6,5.5,5.5,6.5,7.5,6.2
East,AGN260,pH,6,6,5.5,6,6,6.5,6
East,AGN300,pH,10,6,5.5,6,6.5,7,6.2
East,AGN400,pH,11,6.5,6.5,6.5,7.5,8.5,7
East,ALB100,pH,8,6.5,6,7,6.5,7,6.6
East,GDR100,pH,8,6.5,5.5,6.5,6,6.5,6.3
East,GDR150,pH,8,6.5,6.5,7.5,6.5,7.3,6.8
East,GDR200,pH,8,6.5,6,7,6,6.5,6.4
East,GVC115,pH,13,6,5,6,6.5,7.1,6.1
East,HOL100,pH,4,7,6,8,6.5,7.5,7
East,SUP010,pH,10,6.3,6,6,6.5,7,6.4
East,SUP020,pH,11,6,6,6,6.5,6.5,6.2
East,SUP050,pH,11,6,5.5,6,6,6.5,6
East,SUP100,pH,12,6,5.5,5.8,6.5,6.5,6.1
East,SUP200,pH,11,6,5.5,5.5,6,7,6
East,SUP300,pH,13,6.5,5.5,6,6.5,6.5,6.3
East,SUP350,pH,11,6,5,6,6.5,6.5,6
East,WOL100,pH,6,6.5,6,7,6.5,7,6.6
North,BAK025,pH,4,6.5,6,6.3,6.8,7,6.5
North,BAK060,pH,5,6.5,6,6.5,7,7,6.6
North,BAK150,pH,4,7,6.5,6.8,7,7,6.9
North,BAK200,pH,8,6.5,6,6.3,6.5,7,6.4
North,BAK250,pH,5,6.5,6,6.5,6.5,6.5,6.4
North,CRB080,pH,6,6.3,5.5,6,6.5,6.5,6.2
North,CRB100,pH,4,7,6,6.3,7.5,7.5,6.9
North,CRB150,pH,7,6.5,5.5,6,6.5,7,6.3
North,CRB250,pH,5,6.5,5.5,6,6.5,7,6.3
North,CRB300,pH,12,6.5,5.5,6.3,7,7.3,6.6
North,DIP060,pH,4,5.8,5,5.3,6,6,5.6
North,DIP080,pH,4,6,5,5.5,6,6,5.8
North,DIP100,pH,5,6,5.5,6,6.5,6.5,6.1
North,FOU100,pH,9,6.5,6,6,7,7.1,6.5
North,FOU120,pH,10,7,6.5,6.5,7,7.5,6.9
North,FOU150,pH,10,6,6,6,6.5,7,6.3
North,FOU200,pH,8,6.5,6,6,7,7.5,6.6
North,MOU200,pH,20,6.5,6,6.5,7,7.4,6.6
North,MOU250,pH,9,7,6.5,6.5,7,7.5,6.9
North,MOU400,pH,20,6.5,6,6.5,7,7.6,6.7
North,MOU600,pH,19,6.6,6,6.5,7,7.9,6.8
North,MOU650,pH,11,6.5,6,6,7,7.4,6.6
North,MOU700,pH,11,6.5,6,6,7,7.4,6.7
North,MOU850,pH,25,7,6,6.5,7.5,7.9,6.9
Upper,HU0140,pH,15,7.3,5.7,6.8,7.6,7.8,7.1
Upper,HU0150,pH,6,6,6,6,6.5,7,6.3
Upper,HU0200,pH,23,6,5,6,6.5,7,6
Upper,HU0240,pH,21,6,5,5.5,6.5,7,6
Upper,JUD020,pH,10,6,6,6,6.5,6.5,6.2
Upper,JUD025,pH,9,6.5,6,6,6.5,6.5,6.3
Upper,JUD070,pH,6,6,6,6,6.5,6.5,6.2
Upper,JUD100,pH,6,6,6,6,6.5,6.5,6.2
Upper,JUD180,pH,5,6,6,6,6.5,6.5,6.2
Upper,JUD200,pH,7,6,6,6,7.7,8,6.6
Upper,LDR001,pH,61,6.8,5.7,6.6,7,7.5,6.9
Upper,LDR002,pH,59,6.7,5.9,6.6,7.1,7.5,6.8
Upper,LDR100,pH,8,6.5,6,6,6.5,6.5,6.3
Upper,LDR220,pH,5,6.5,6,6,6.5,6.5,6.3
Upper,LDR300,pH,4,6,6,6,6,6,6
Upper,RU3070,pH,11,6,5.5,6,6,7,6
Upper,RUS005,pH,64,6.9,6,6.7,7.2,7.7,6.9
Upper,RUS010,pH,63,6.8,5.5,6.6,7,7.6,6.8
Upper,RUS055,pH,12,6,5.5,6,6.5,6.5,6.1
Upper,RUS060,pH,15,6,5.5,6,6,6.5,6
Upper,RUS075,pH,6,6,5.5,6,6.5,7,6.2
Upper,RUS080,pH,15,6,5.5,5.5,6.5,60,9.6
Upper,RUS100,pH,13,6,5,6,6.5,7,6.2
Upper,WAT050,pH,8,6.8,6,6.5,7.5,7.5,6.9
Upper,WAT055,pH,5,7,6,7,7.5,8,7.1
Upper,WAT200,pH,27,6.5,6,6.5,7,8,6.8
West,CFB010,pH,30,6.5,5.5,6,6.5,7.6,6.3
West,CFB020,pH,32,6.5,5.5,6,6.5,7.7,6.4
West,CFB030,pH,27,6.5,5.5,6,6.5,7.7,6.4
West,DOV070,pH,4,6.9,6,6.5,7.4,7.8,6.9
West,DOV090,pH,2,7.2,6.5,7.8,7.2,,
West,DOV110,pH,2,7,6.5,7.5,7,,
West,DOV120,pH,2,7.9,7.5,8.2,7.9,,
West,DOV130,pH,2,8,8,8,8,,
West,PCK010,pH,20,6.3,5.5,6,6.5,7,6.3
West,PCK020,pH,20,6.5,6,6.5,6.8,7,6.6
West,PCK030,pH,20,6.5,6,6.5,7,7,6.6
