Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean 
East,GVC115,Ortho-phosphate (mg/L),2,0.011,0.006,0.016,0.011,,
East,SUP010,Ortho-phosphate (mg/L),9,0.045,0.03,0.03,0.045,0.06,0.04
East,SUP020,Ortho-phosphate (mg/L),10,0.28,0.14,0.14,0.42,0.44,0.282
East,SUP050,Ortho-phosphate (mg/L),10,0.19,0.08,0.14,0.28,1.14,0.299
East,SUP100,Ortho-phosphate (mg/L),10,0.13,0.045,0.08,0.14,0.28,0.13
East,SUP200,Ortho-phosphate (mg/L),7,0.03,0.015,0.015,0.03,0.15,0.041
East,SUP300,Ortho-phosphate (mg/L),10,0.08,0.03,0.08,0.11,0.14,0.088
North,BAK025,Ortho-phosphate (mg/L),2,0.015,0.015,0.015,0.015,,
North,BAK060,Ortho-phosphate (mg/L),2,0.015,0.015,0.015,0.015,,
North,BAK150,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,
North,BAK200,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,
North,BAK250,Ortho-phosphate (mg/L),3,0.015,0.015,0.03,0.02,,
North,CRB080,Ortho-phosphate (mg/L),4,0.008,0,0,0.023,0.03,0.011
North,CRB150,Ortho-phosphate (mg/L),6,0.015,0,0.015,0.015,0.03,0.015
North,CRB250,Ortho-phosphate (mg/L),4,0.008,0,0,0.015,0.015,0.008
North,CRB300,Ortho-phosphate (mg/L),6,0.015,0,0.015,0.015,0.015,0.013
North,FOU100,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,
North,FOU120,Ortho-phosphate (mg/L),5,0.015,0.015,0.015,0.015,0.03,0.018
North,FOU150,Ortho-phosphate (mg/L),5,0.03,0.015,0.015,0.03,0.045,0.027
North,FOU200,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,
North,MOU200,Ortho-phosphate (mg/L),3,0.005,0.005,0.03,0.013,,
North,MOU250,Ortho-phosphate (mg/L),2,0.005,0.005,0.005,0.005,,
North,MOU400,Ortho-phosphate (mg/L),4,0.005,0,0.003,0.01,0.015,0.006
North,MOU600,Ortho-phosphate (mg/L),3,0.005,0.005,0.03,0.013,,
North,MOU650,Ortho-phosphate (mg/L),6,0.01,0,0.005,0.015,0.03,0.012
North,MOU700,Ortho-phosphate (mg/L),5,0.012,0.015,0.015,0.005,0.005,6
North,MOU850,Ortho-phosphate (mg/L),6,0.015,0.005,0.01,0.015,0.03,0.015
Upper,JUD020,Ortho-phosphate (mg/L),7,0,0,0,0.015,0.03,0.006
Upper,JUD025,Ortho-phosphate (mg/L),7,0.015,0,0,0.015,0.03,0.011
Upper,JUD070,Ortho-phosphate (mg/L),5,0,0,0,0,0.015,0.003
Upper,JUD100,Ortho-phosphate (mg/L),5,0,0,0,0.015,0.015,0.006
Upper,JUD180,Ortho-phosphate (mg/L),4,0.008,0,0,0.015,0.015,0.008
Upper,JUD200,Ortho-phosphate (mg/L),7,0.005,0,0,0.015,0.03,0.008
Upper,LDR100,Total phosphate (mg/L),4,0.01,0.01,0.01,0.02,0.02,0.01
Upper,LDR220,Total phosphate (mg/L),5,0.02,0.01,0.01,0.02,0.03,0.02
Upper,LDR300,Total phosphate (mg/L),5,0.04,0.03,0.03,0.04,0.05,0.04
Upper,LDR400,Total phosphate (mg/L),4,0.02,0.01,0.01,0.02,0.02,0.02
Upper,RUS010,Ortho-phosphate (mg/L),2,0.008,0,0.015,0.008,,
Upper,RUS055,Ortho-phosphate (mg/L),8,0.015,0.002,0.008,0.023,0.03,0.015
Upper,RUS060,Ortho-phosphate (mg/L),3,0.015,0.015,0.015,0.015,,
Upper,RUS080,Ortho-phosphate (mg/L),2,0.015,0.015,0.015,0.015,,
Upper,RUS100,Ortho-phosphate (mg/L),2,0.008,0,0.015,0.008,,
West,CFB010,Ortho-phosphate (mg/L),4,0.011,0.005,0.006,0.023,0.03,0.014
West,CFB020,Ortho-phosphate (mg/L),2,0.015,0.015,0.015,0.015,,
West,CFB030,Ortho-phosphate (mg/L),4,0.012,0.005,0.007,0.023,0.03,0.015
