Site,Easting (AGD66 UTM Z55),Northing (AGD66 UTM Z55),Latitude (GDA94),Longitude (GDA94),Google Maps,Apple Maps
AGN010,507700,5225250,-43.123801,147.096041,"https://www.google.com/maps/search/?api=1&query=-43.123801,147.096041","https://maps.apple.com/?ll=-43.123801,147.096041&q=-43.123801,147.096041"
AGN016,506500,5224600,-43.129665,147.081297,"https://www.google.com/maps/search/?api=1&query=-43.129665,147.081297","https://maps.apple.com/?ll=-43.129665,147.081297&q=-43.129665,147.081297"
AGN120,506100,5221475,-43.157809,147.076414,"https://www.google.com/maps/search/?api=1&query=-43.157809,147.076414","https://maps.apple.com/?ll=-43.157809,147.076414&q=-43.157809,147.076414"
AGN130,506100,5221500,-43.157584,147.076414,"https://www.google.com/maps/search/?api=1&query=-43.157584,147.076414","https://maps.apple.com/?ll=-43.157584,147.076414&q=-43.157584,147.076414"
AGN200,506075,5221225,-43.16006,147.076109,"https://www.google.com/maps/search/?api=1&query=-43.16006,147.076109","https://maps.apple.com/?ll=-43.16006,147.076109&q=-43.16006,147.076109"
A6N245,507675,5221775,-43.155093,147.095783,"https://www.google.com/maps/search/?api=1&query=-43.155093,147.095783","https://maps.apple.com/?ll=-43.155093,147.095783&q=-43.155093,147.095783"
AGN249,507575,5221825,-43.154644,147.094552,"https://www.google.com/maps/search/?api=1&query=-43.154644,147.094552","https://maps.apple.com/?ll=-43.154644,147.094552&q=-43.154644,147.094552"
AGN250,507500,5221900,-43.153969,147.093628,"https://www.google.com/maps/search/?api=1&query=-43.153969,147.093628","https://maps.apple.com/?ll=-43.153969,147.093628&q=-43.153969,147.093628"
AGN260,506650,5221550,-43.157129,147.083178,"https://www.google.com/maps/search/?api=1&query=-43.157129,147.083178","https://maps.apple.com/?ll=-43.157129,147.083178&q=-43.157129,147.083178"
AGN300,506500,5221500,-43.157581,147.081334,"https://www.google.com/maps/search/?api=1&query=-43.157581,147.081334","https://maps.apple.com/?ll=-43.157581,147.081334&q=-43.157581,147.081334"
AGN400,506575,5220900,-43.162983,147.082263,"https://www.google.com/maps/search/?api=1&query=-43.162983,147.082263","https://maps.apple.com/?ll=-43.162983,147.082263&q=-43.162983,147.082263"
,,,,,,
ALB100,512100,5219300,-43.177322,147.150263,"https://www.google.com/maps/search/?api=1&query=-43.177322,147.150263","https://maps.apple.com/?ll=-43.177322,147.150263&q=-43.177322,147.150263"
,,,,,,
ARV005,481500,5215600,-43.210514,146.773633,"https://www.google.com/maps/search/?api=1&query=-43.210514,146.773633","https://maps.apple.com/?ll=-43.210514,146.773633&q=-43.210514,146.773633"
ARV100,485500,5231500,-43.067423,146.823289,"https://www.google.com/maps/search/?api=1&query=-43.067423,146.823289","https://maps.apple.com/?ll=-43.067423,146.823289&q=-43.067423,146.823289"
,,,,,,
BAK015,500500,5244350,-42.951844,147.007508,"https://www.google.com/maps/search/?api=1&query=-42.951844,147.007508","https://maps.apple.com/?ll=-42.951844,147.007508&q=-42.951844,147.007508"
BAK025,501100,5243750,-42.957247,147.014864,"https://www.google.com/maps/search/?api=1&query=-42.957247,147.014864","https://maps.apple.com/?ll=-42.957247,147.014864&q=-42.957247,147.014864"
BAK060,502350,5242900,-42.964898,147.030193,"https://www.google.com/maps/search/?api=1&query=-42.964898,147.030193","https://maps.apple.com/?ll=-42.964898,147.030193&q=-42.964898,147.030193"
BAK100,502900,5242450,-42.968948,147.03694,"https://www.google.com/maps/search/?api=1&query=-42.968948,147.03694","https://maps.apple.com/?ll=-42.968948,147.03694&q=-42.968948,147.03694"
BAK150,503600,5241900,-42.973898,147.045527,"https://www.google.com/maps/search/?api=1&query=-42.973898,147.045527","https://maps.apple.com/?ll=-42.973898,147.045527&q=-42.973898,147.045527"
BAK200,504350,5241250,-42.979747,147.05473,"https://www.google.com/maps/search/?api=1&query=-42.979747,147.05473","https://maps.apple.com/?ll=-42.979747,147.05473&q=-42.979747,147.05473"
BAK250,505250,5240650,-42.985145,147.065774,"https://www.google.com/maps/search/?api=1&query=-42.985145,147.065774","https://maps.apple.com/?ll=-42.985145,147.065774&q=-42.985145,147.065774"
,,,,,,
CFB010,495800,5226213,-43.115158,146.949756,"https://www.google.com/maps/search/?api=1&query=-43.115158,146.949756","https://maps.apple.com/?ll=-43.115158,146.949756&q=-43.115158,146.949756"
CFB020,496500,5225100,-43.125184,146.958354,"https://www.google.com/maps/search/?api=1&query=-43.125184,146.958354","https://maps.apple.com/?ll=-43.125184,146.958354&q=-43.125184,146.958354"
CFB030,497600,5224200,-43.133293,146.971873,"https://www.google.com/maps/search/?api=1&query=-43.133293,146.971873","https://maps.apple.com/?ll=-43.133293,146.971873&q=-43.133293,146.971873"
,,,,,,
CRB080,504400,5246450,-42.93292,147.055301,"https://www.google.com/maps/search/?api=1&query=-42.93292,147.055301","https://maps.apple.com/?ll=-42.93292,147.055301&q=-42.93292,147.055301"
CRB100,504600,5246100,-42.936071,147.057755,"https://www.google.com/maps/search/?api=1&query=-42.936071,147.057755","https://maps.apple.com/?ll=-42.936071,147.057755&q=-42.936071,147.057755"
CRB150,505650,5244950,-42.94642,147.070636,"https://www.google.com/maps/search/?api=1&query=-42.94642,147.070636","https://maps.apple.com/?ll=-42.94642,147.070636&q=-42.94642,147.070636"
CRB250,506350,5243900,-42.955869,147.079229,"https://www.google.com/maps/search/?api=1&query=-42.955869,147.079229","https://maps.apple.com/?ll=-42.955869,147.079229&q=-42.955869,147.079229"
CRB300,507000,5242400,-42.969371,147.087217,"https://www.google.com/maps/search/?api=1&query=-42.969371,147.087217","https://maps.apple.com/?ll=-42.969371,147.087217&q=-42.969371,147.087217"
,,,,,,
DIC500,494600,5238000,-43.009009,146.935118,"https://www.google.com/maps/search/?api=1&query=-43.009009,146.935118","https://maps.apple.com/?ll=-43.009009,146.935118&q=-43.009009,146.935118"
,,,,,,
DIP040,509550,5242850,-42.965291,147.118479,"https://www.google.com/maps/search/?api=1&query=-42.965291,147.118479","https://maps.apple.com/?ll=-42.965291,147.118479&q=-42.965291,147.118479"
DIP060,509300,5243350,-42.960792,147.115405,"https://www.google.com/maps/search/?api=1&query=-42.960792,147.115405","https://maps.apple.com/?ll=-42.960792,147.115405&q=-42.960792,147.115405"
DIP080,508800,5243300,-42.961248,147.109275,"https://www.google.com/maps/search/?api=1&query=-42.961248,147.109275","https://maps.apple.com/?ll=-42.961248,147.109275&q=-42.961248,147.109275"
DIP100,508800,5243350,-42.960798,147.109274,"https://www.google.com/maps/search/?api=1&query=-42.960798,147.109274","https://maps.apple.com/?ll=-42.960798,147.109274&q=-42.960798,147.109274"
,,,,,,
DOV070,500650,5205900,-43.298083,147.009399,"https://www.google.com/maps/search/?api=1&query=-43.298083,147.009399","https://maps.apple.com/?ll=-43.298083,147.009399&q=-43.298083,147.009399"
DOV090,500850,5204975,-43.306412,147.011866,"https://www.google.com/maps/search/?api=1&query=-43.306412,147.011866","https://maps.apple.com/?ll=-43.306412,147.011866&q=-43.306412,147.011866"
DOV100,500900,5204550,-43.310239,147.012484,"https://www.google.com/maps/search/?api=1&query=-43.310239,147.012484","https://maps.apple.com/?ll=-43.310239,147.012484&q=-43.310239,147.012484"
DOV110,501325,5204450,-43.311139,147.017724,"https://www.google.com/maps/search/?api=1&query=-43.311139,147.017724","https://maps.apple.com/?ll=-43.311139,147.017724&q=-43.311139,147.017724"
DOV120,501620,5204100,-43.31429,147.021363,"https://www.google.com/maps/search/?api=1&query=-43.31429,147.021363","https://maps.apple.com/?ll=-43.31429,147.021363&q=-43.31429,147.021363"
