Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean 
East,AGN010,Water temperature (°C),15,10,6,8,12.5,18,10.6
East,AGN016,Water temperature (°C),13,12.5,3.9,7.5,16,19,11.8
East,AGN120,Water temperature (°C),11,13.5,6.5,7.5,18,20,13.4
East,AGN130,Water temperature (°C),27,12.7,4.3,8,16.1,23,12.5
East,AGN200,Water temperature (°C),11,15,7,10,21,25,15.1
East,AGN245,Water temperature (°C),6,12,9.5,11,17.5,26,14.7
East,AGN249,Water temperature (°C),10,13,6.5,10.5,15.5,20,13.2
East,AGN250,Water temperature (°C),9,12.5,7,9.5,13,26,12.7
East,AGN260,Water temperature (°C),6,12,8,10,14.5,20,12.8
East,AGN300,Water temperature (°C),10,12,5.5,9,13,19.5,11.8
East,AGN400,Water temperature (°C),11,16.5,5.5,9,21,30.5,15.7
East,ALB100,Water  temperature (°C),7,9.5,7,14,8,12,10
East,GDR100,Water  temperature (°C),7,10,8,15,8,14,10.5
East,GDR150,Water  temperature (°C),7,13,7.5,20,8,16,12.4
East,GDR200,Water  temperature (°C),7,11,7.6,17,8,13,11.2
East,GVC115,Water temperature (°C),13,11,3.7,7,14,18,11.2
East,HOL100,Water  temperature (°C),4,11,7,13.5,8,13.3,10.6
East,SUP010,Water temperature (°C),10,12.5,8.5,9,15,20.4,13.2
East,SUP020,Water temperature (°C),11,13,8.5,10,16,22.5,13.6
East,SUP050,Water temperature (°C),11,12.5,8,10,16,20,13
East,SUP100,Water temperature (°C),12,12,8,10.3,15.8,22,13.2
East,SUP200,Water temperature (°C),12,15.3,9,11.5,19.8,23,15.6
East,SUP300,Water temperature (°C),14,12.5,8,9.5,15,24.5,13.1
East,SUP350,Water temperature (°C),11,12,6,8,14,18,11.9
East,WOL100,Water  temperature (°C),6,11.3,9,17.5,9,16,12.3
North,BAK025,Water temperature (°C),4,12.5,10,11,13,13,12
North,BAK060,Water temperature (°C),5,13,8,11,14.5,15,12.3
North,BAK150,Water temperature (°C),4,13.5,9.5,10.8,15,15,12.9
North,BAK200,Water temperature (°C),8,12,5,10.3,15,16.5,12
North,BAK250,Water temperature (°C),5,14.5,8,10,16.5,18,13.4
North,CRB080,Water temperature (°C),6,11.3,6,6.5,16.5,20,11.9
North,CRB100,Water temperature (°C),4,18.9,5.6,12.2,19.5,20,15.9
North,CRB150,Water temperature (°C),7,14.5,6,8,18,19,13.1
North,CRB250,Water temperature (°C),5,15,6.5,9,18.5,19,13.6
North,CRB300,Water temperature (°C),12,12,4.5,7.5,16.5,19.6,12.2
North,DIP060,Water temperature (°C),4,9.3,6,7.3,12,14,9.6
North,DIP080,Water temperature (°C),4,8,5.5,6,10.3,11,8.1
North,DIP100,Water temperature (°C),5,11.5,5,7,12,15,10.1
North,FOU100,Water temperature (°C),9,10,4.8,5.5,11.8,18.2,9.5
North,FOU120,Water temperature (°C),10,10.5,4.5,5.8,11.8,13.9,9.3
North,FOU150,Water temperature (°C),10,10.5,5,6.3,11.5,12,9.1
North,FOU200,Water temperature (°C),8,11,4.5,7,11.3,13.5,9.6
North,MOU200,Water temperature (°C),19,10.9,5,7,16,18.5,11.5
North,MOU250,Water temperature (°C),9,13,5.3,9.5,16,19.6,12.9
