Zone,Site,Parameter,No.samples,Median,Minimum,25%quartile,75%quartile,Maximum,Mean 
East,AGN010,Turbidity (NTU),15,7,<7,<7,<7,<7,<7 
East,AGN016,Turbidity (NTU),13,7,2,<7,<7,20,8
East,AGN120,Turbidity (NTU),10,9,<7,<7,10,24,11
East,AGN130,Turbidity (NTU),27,19,<7,<7,24,44,18
East,AGN200,Turbidity (NTU),11,55,16,30,99,300,93
East,AGN245,Turbidity (NTU),6,7,<7,<7,14,75,20
East,AGN249,Turbidity (NTU),10,90,34,57,130,300,111
East,AGN250,Turbidity (NTU),9,35,<7,<7,55,85,38
East,AGN260,Turbidity (NTU),6,28,<7,<7,40,155,44
East,AGN300,Turbidity (NTU),10,15,<7,13,18,40,17
East,AGN400,Turbidity (NTU),11,10,<7,<7,11,13,9
East,ALB100,Turbidity (NTU),8,<7,<7,16,<7,<7,8
East,GDR100,Turbidity (NTU),8,<7,<7,<7,<7,<7,<7 
East,GDR150,Turbidity (NTU),8,<7,<7,23,<7,<7,9
East,GDR200,Turbidity (NTU),8,<7,6,19,<7,10,9
East,GVC115,Turbidity (NTU),13,29,8,25,40,170,39
East,HOL100,Turbidity (NTU),4,9,<7,14,8,12,10
East,SUP010,Turbidity (NTU),10,21,16,18,29,53,26
East,SUP020,Turbidity (NTU),11,85,38,60,99,115,81
East,SUP050,Turbidity (NTU),11,51,23,44,59,-,85
East,SUP100,Turbidity (NTU),12,25,6,22,32,41,26
East,SUP200,Turbidity (NTU),11,65,13,43,83,250,76
East,SUP300,Turbidity (NTU),13,24,10,21,33,83,30
East,SUP350,Turbidity (NTU),11,26,10,11,63,80,35
East,WOL100,Turbidity (NTU),6,7,<7,<7,<7,<7,<7 
North,BAK025,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 
North,BAK060,Turbidity (NTU),5,<7,<7,<7,<7,<7,<7 
North,BAK150,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 
North,BAK200,Turbidity (NTU),a,<7,<7,<7,<7,<7,<7 
North,BAK250,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 
North,CRB080,Turbidity (NTU),6,<7,<7,<7,7,7,7
North,CRB100,Turbidity (NTU),4,4,1,1,7,7,4
North,CRB150,Turbidity (NTU),7,<7,<7,<7,<7,<7,<7 
North,CRB250,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 
North,CRB300,Turbidity (NTU),12,7,1,<7,<7,<7,6
North,DIP060,Turbidity (NTU),4,19,17,18,24,28,21
North,DIP080,Turbidity (NTU),4,31,9,18,35,35,26
North,DIP100,Turbidity (NTU),5,16,<7,15,25,25,18
North,FOU100,Turbidity (NTU),9,<7,<7,<7,<7,12,8
North,FOU120,Turbidity (NTU),10,<7,<7,<7,<7,13,8
North,FOU150,Turbidity (NTU),10,<7,<7,<7,<7,<7,<7 
North,FOU200,Turbidity (NTU),8,<7,<7,<7,<7,15,8
North,M0U600,Turbidity (NTU),20,<7,<7,<7,<7,18,8
North,MOU200,Turbidity (NTU),20,<7,<7,<7,<7,71,11
North,MOU250,Turbidity (NTU),9,<7,<7,<7,<7,<7,<7 
North,MOU400,Turbidity (NTU),20,<7,<7,<7,<7,18,8
North,MOU650,Turbidity (NTU),11,<7,<7,<7,<7,8,<7 
North,MOU700,Turbidity (NTU),11,<7,<7,<7,<7,13,8
North,MOU850,Turbidity (NTU),28,<7,<7,<7,<7,266,24
Upper,HU0140,Turbidity (NTU),19,2,1,1,3,39,5.2
Upper,HU0150,Turbidity (NTU),6,<7,<7,<7,7,7,7
Upper,HU0200,Turbidity (NTU),22,<7,<7,<7,10,65,13
Upper,HU0240,Turbidity (NTU),20,<7,<7,<7,9,20,9
Upper,JUD020,Turbidity (NTU),10,<7,<7,<7,<7,<7,<7 
Upper,JUD025,Turbidity (NTU),9,<7,<7,<7,<7,<7,<7 
Upper,JUD070,Turbidity (NTU),6,<7,<7,<7,<7,<7,<7 
Upper,JUD100,Turbidity (NTU),6,<7,<7,<7,<7,<7,<7 
Upper,JUD180,Turbidity (NTU),5,<7,<7,<7,<7,<7,<7 
Upper,JUD200,Turbidity (NTU),7,<7,<7,<7,<7,<7,<7 
Upper,LDR001,Turbidity (NTU),69,0,0,0,0.3,2,0.3
Upper,LDR002,Turbidity (NTU),67,1,0,0,1.4,5.4,1
Upper,LDR100,Turbidity (NTU),8,<7,<7,<7,<7,<7,<7 
Upper,LDR220,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 
Upper,LDR300,Turbidity (NTU),4,<7,<7,<7,<7,<7,<7 
Upper,RUS005,Turbidity (NTU),72,0,0,0,0.3,2,0.2
Upper,RUS010,Turbidity (NTU),71,0,0,0,1,7,0.9
Upper,RUS055,Turbidity (NTU),12,<7,<7,<7,<7,<7,<7 
Upper,RUS060,Turbidity (NTU),15,<7,<7,<7,<7,<7,<7 
Upper,RUS070,Turbidity (NTU),12,<7,<7,<7,<7,<7,<7 
Upper,RUS075,Turbidity (NTU),6,<7,<7,<7,<7,18,9
Upper,RUS080,Turbidity (NTU),16,<7,<7,<7,<7,<7,<7 
Upper,RUS100,Turbidity (NTU),14,<7,<7,<7,<7,<7,<7 
